Model,Train_F1,Test_F1,Overfit_Gap,Test_Accuracy,Test_Precision,Test_Recall,Test_ROC_AUC,Test_PR_AUC
Baseline (Logistic Regression),0.6336686077289571,0.6235662148070907,0.010102392921866321,0.7437899219304471,0.5111111111111111,0.7994652406417112,0.8436177633108578,0.6422150241771575
XGBoost (Default Params),0.78587319243604,0.6150392817059485,0.17083391073009158,0.7565649396735273,0.5299806576402321,0.732620320855615,0.839007724301842,0.6508600977377079
XGBoost (Tuned),0.7812945537496434,0.6207674943566591,0.16052705939298428,0.7615330021291696,0.537109375,0.7352941176470589,0.8426967888604717,0.6468838173195146
